@relation train_teg

@attribute titulo string
@attribute resumen string
@attribute palabras_clave string
@attribute _mencion_ {'aplicaciones en internet','tecnologías de comunicación y redes de computadoras','base de datos','inteligencia artificial','sistemas de información'}

@data
'elaboración de un prototipo de buscador de documentos académicos de la facultad de ciencias.','el presente trabajo especial de grado aborda el tema de la localización de documentos electrónicos con la información solicitada por los usuarios. en el marco conceptual se investigó acerca de la manera en que funcionan los grandes buscadores de internet, los buscadoresmas específicos que operan en una sola computadora y los formatos de documentos electrónicos que éstos manejan. en el marco aplicativo se desarrolló un repositorio y un buscador web de documentos electrónicos, los cuales están diseñados para albergar a los trabajos producidos por los estudiantes de la facultad de ciencias de la universidad central de venezuela. el sistema desarrollado en el marco aplicativo se llama busconest, el cual es a su vez un subsistema de conest dedicado exclusivamente a los documentos digitales relacionados con trabajos académicos. durante el desarrollo de la aplicación se emplearon planteamientos y soluciones innovadoras para los requerimientos específicos. entre los principales aspectos del desarrollo de busconest tenemos el algoritmo de ordenamiento, la implementación del manejo de la persistencia, la ejecución de las consultas, la integración con conest y la incrementabilidad del sistema entre otros.','busconest, conest, biblioteca, ruby on rails.','aplicaciones en internet'
'admin ucv ngn: aplicación de código abierto para la configuración y la administración de redes de próxima generación.','el presente trabajo especial de grado consiste en el desarrollo de una aplicación denominada adminucv ngn para la administración y la configuración de redes con soporte para ipv4 e ipv6. adminucv ngn está basada en el protocolo snmp y provee un conjunto de herramientas que permiten monitorizar y conocer el estado de la red, facilitando la labor del administrador. el trabajo se inicia con un estudio teórico de los aspectos más relevantes que se deben tomar en cuenta para la creación de un sistema para administración de redes y un análisis de cada uno de los protocolos sobre los que se fundamenta. durante la implementación de la aplicación, se utilizó una metodología iterativa basada en las nuevas tendencias del modelo de desarrollo ágil que plantea la creación de cada una de las herramientas de la aplicación en una iteración del proceso que abarca las fases de análisis, diseño, implementación y pruebas. adminucv ngn brinda soporte para snmp versión 1 y 2c mediante un manager snmp que complementa las primitivas del protocolo con operaciones avanzadas tales como walk (para recorrer un subárbol de la mib) y table view (para visualizar los datos de una tabla snmp ordenados por columnas). adicionalmente permite importar mibs, recibir traps y generar gráficas basadas en variables snmp. adminucv ngn incorpora también un conjunto de utilidades administrativas como ping, tracert, un sniffer y un escáner de puertos tcp, donde cada una de ellas provee soporte para ipv4 e ipv6.el producto final junto a la documentación de la investigación está publicada como una aplicación con licencia gnu gpl a través de sourceforge.net (un sitio web que permite el hospedaje y distribución de software libre y sistemas de código abierto) en el siguiente enlace: http://adminucvngn.sourceforge.net.','administración de redes, ipv4, ipv6, snmp, mib, gnu.','tecnologías de comunicación y redes de computadoras'
'generador gráfico de consultas para la recuperación de datos integrado en eclipse.','en la actualidad, la mayoría de los sistemas de software almacenan suinformación haciendo uso de bases de datos. cada uno de los sistemas manejadores de bases de datos, manejan esta información de diferentes maneras; lo cual hace quela recuperación de los datos dependa en gran parte del sistema manejador de basesde datos que se utilice. el presente trabajo especial de grado, ofrece realizar una herramienta quepermita a los usuarios inexpertos en la manipulación de consultas de recuperación dedatos (sql). la construcción de una consulta se realizará de forma gráfica, permitiendo hacer abstracción del smbd utilizado. esta herramienta gráfica de creación consultas de recuperación de datos, se implantó como un plug-in del entorno de desarrollo eclipse, debido a que las consultas de recuperación de datos sql son utilizadas en mayor parte en el momento en que sedesarrollan los sistemas de software. para llevar a cabo la solución al problema, y desarrollar una herramienta degeneración de consultas sql independiente del smbd y de su sintaxis sql, se realizólo siguiente: se definió un proceso de desarrollo basado en programación extrema (xp) ytomando prácticas y principios de la metodología modelación ágil (am).como la herramienta debe permitir generar una sintaxis sql para diferentes smbd, se hizo que la misma fuera extensible mediante archivos deconfiguración basados en xml, en los cuales se especifican las características decada base de datos. las soportadas por el plug-in actualmente son mysql 4.1,postgres 8.1 y oracle 9i.se creó un módulo de base de datos genérico que permite establecercomunicación con los diferentes smbd relacionales; además de poder obtenerel diccionario de datos que en estos se encuentran. se crearon interfaces de manejos de proyectos, que aplica los patrones deinterfaces a las del entorno de desarrollo eclipse.','plug-in, eclipse, sql, base de datos.','aplicaciones en internet'
'actualización tecnológica para el instituto nacional de tránsito y transporte terrestre. caso de estudio: sistema de inventario de placas.','el inttt pretende incorporar la nueva forma de identificación de vehículos amediados del 2008 (códigos de placas de 7 dígitos) para suplantar el viejo sistema (códigos de placas de 6 dígitos), se ha sugerido la descentralización del sistema actual de almacenamiento de identificaciones ya que el inttt cuenta con 69 oficinas distribuidas a lo largo del país, por lo tanto, el nuevo sistema de identificación de vehículos pudiera masificarse en todo el país de manera rápida y efectiva. se propone el desarrollo de una plataforma de software aplicando un método dedesarrollo ágil en un contexto de trabajo real bajo una arquitectura cliente-servidor con una propuesta de migración hacia una arquitectura orientada a servicios, que sea accesible y fácil de usar, de manera tal, que pueda implantarse en cada una de las oficinas del inttt y que permita agilizar la masificación de la nueva forma de identificación vehicular.','vehículos, migración, intt','aplicaciones en internet'
'desarrollo de un generador de sitios web para la visualización de ontologías.','en el presente trabajo de investigación se propone el diseño, desarrollo e implementación de una herramienta que permita la generación de sitios web para la visualización de ontologías y contenidos relacionados a la misma. dicha herramienta estará basada en una arquitectura cliente/servidor. la herramienta propuesta tiene como base o punto de partida los siguientes trabajos de investigación: ontología en ambiente web para el dominio del análisis de líquido seminal humano (pereira, 2006), visualizador de una ontología de insectos acuáticos (labrador, 2007) y desarrollo de una aplicación en ambiente web para la visualización de una ontología para el dominio del análisis de semen humano (reyes, 2008); los trabajos mencionados anteriormente, permiten visualizar una ontología bajo un esquema cliente/ servidor. sin embargo, estos visualizadores tienen la limitante de trabajar con un dominio y ontología especifica. el generador de sitios web para la visualización de ontologías permite solucionar dicha limitante a través de un módulo visualizador generalizado para ontologías owl-dl.','ontología, sitios web, visualización de ontologías, owl-dl, visualizador generalizado.','inteligencia artificial'
'desarrollo de un sistema web de gestión, control e inscripción de actividades extracurriculares para el c.e.a.p.u.c.v.','hoy en día el uso de las tecnologías de información y comunicación, para lograr un sistema automatizado, son un recurso indispensable para obtener un mejor desempeño en todas las áreas de trabajo a nivel mundial, ya que estas permiten dejar a un lado los métodos manuales para así llevar a cabo sus tareas de unaforma más rápida y eficiente. este hecho es el punto de partida para el desarrollo de este trabajo de investigación en el cual se desarrollará un sistema para la automatizar la gestión e inscripción online de actividades extracurriculares del centro educativo de la asociación de profesores de la u.c.v. (c.e.a.p.u.c.v.), en el cual se utilizarán herramientas de código abierto para su desarrollo, como : el sistema manejadorde base de datos mysql, el cual permite entre otras cosas, un bajo costo en requerimientos para la elaboración de bases de datos, ya que debido a su bajo consumo de procesamiento , puede ser ejecutado en una máquina con pocos requerimientos de memoria y procesador sin ningún problema; otra herramienta de código abierto utilizada es el lenguaje hypertext pre-processor php, el cualbrinda diferentes ventajas a la hora de desarrollar programas, una de las principales es que es un lenguaje interpretado el cual no necesita compilación ni la utilización de ninguna máquina virtual para su funcionamiento, aparte de esto, es uno de los lenguajes más populares que se utilizan actualmente en el mercado, dado que su costo para el hospedaje y mantenimiento de sitios webs es mínimo.otro punto importante en la investigación fue la selección de la metodología, la cual debía estar adaptada al desarrollo, en torno a esto se realizó una investigación entre las metodologías más utilizadas, entre las cuales figuran: proceso racional unificado (rup),programación extrema (xp) y desarrollobasado en funcionalidades (fdd), para llegar a la conclusión de utilizar esta última nombrada, ya que por tratarse de una aplicación web de pequeña escala, con pocos integrantes y en la cual las funcionalidades era su principal objetivo, esta metodología con procesos ágiles la cual provee documentación, era la másapropiada para comenzar el desarrollo; la documentación necesaria aplicada en esta metodología para esta aplicación serán: diagramas de objetos, diagrama deentidad relación, diagramas de secuencias y por último, aunque no se plantea dentro de la metodología, se utilizó la recolección de datos, para poder esquematizar esto se realizarán los diagramas de casos de uso. el objetivo principal de este desarrollo, es ofrecer al colegio c.e.a.p.u.c.v., la oportunidad de obtener una ventana a la tecnología de hoy en día para aplicarlade forma eficiente en el desarrollo de sus actividades dentro del ámbito de lasactividades extracurriculares dadas en esta institución, para que así puedan obtener un gran número de ventajas dentro del ámbito académico y económico.','gestión, inscripción, diagrama, control, online, aplicación web, maquina virtual, sistema web, lenguaje interpretado, centro educativo, sistema automatizado','aplicaciones en internet'
'sistema automatizado para la gestión de solicitudes en tecnologias de información','el acelerado avance en tecnologías de información ha traído como consecuencia el crecimiento exponencial de las redes de datos, aumentando considerablemente la cantidad de dispositivos de interconexión y de usuarios en las mismas, lo que ha originado que la tarea de mantenimiento, atención y soporte a usuarios en las organizaciones sea cada vez más compleja y costosa, aún contando con el conocimiento y las herramientas apropiadas. en este trabajo especial de grado se presenta un sistema automatizado, que permite llevar la gestión de solicitudes de servicio, gestión de inventario de plataforma tecnológica y de activos de red de una forma integrada, a fin de: mejorar la productividad de los usuarios de la organización, controlar y monitorizar los procesos de servicio, optimizar el uso de los recursos disponibles, reducir el impacto de las incidencias sobre la organización, detectar las condiciones de la red organizativa de datos, detectar problemas de flujo y conectividad de datos por malos diseños de la red, entre otros. los resultados obtenidos al realizar las pruebas del sistema muestran el impacto favorable sobre la organización, basado en la reducción de los tiempos de respuesta en la solución de las incidencias, en un 34,55\%, el aumento en la productividad del personal del departamento de atención de usuarios y eficienciaen la gestión de activos. con este trabajo especial de grado se deja ver la manera en que es posible integrar un conjunto de herramientas basadas en software libre, enfocadas en automatizar la gestión de solicitudes en tecnologías de información, permitiendo una adecuada gestión de incidencias e inventario de activos y dispositivos conectados a la red. además, es novedoso, orientado al web, seguro y robusto, gracias a que ofrece un diseño completamente modular, si la operación de un módulo falla el sistema no deja de funcionar. está pensado para ser escalable y fácil de adaptar, pese a ser una solución pensada para la empresa ingedigit c.a.,puede correr bajo cualquier ambiente, sin importar las dimensiones de la red, la cantidad de dispositivos conectados a ella y la dinámica de la organizacón.','ingedigit, gestión, software libre, plataforma tecnológica','tecnologías de comunicación y redes de computadoras'
'diseño y desarrollo de plataforma integrada gsm-smpp para la administración de mensajes de texto sms y publicación web.','el objetivo del presente trabajo especial de grado consiste en la implementación de una plataforma capaz de proveer, a empresas que prestan servicios de valor agregado mediante la mensajería corta de texto, el control de todos sus envíos, así como las respectivas respuestas de los mismos, además de ser configurable para cualquier tipo de operadora, no sólo a nivel nacional sino también internacional. este desarrollo fue motivado por la necesidad de la empresa de las comunicaciones, quién presta este tipo de servicios, con el fin de ampliar su plataforma y poder brindar un mejorar servicio a sus clientes; haciendo uso de las especificaciones del protocolo estándar de clase mundial smpp (short message peer-to-peer), la implementación fue llevada a cabo en lenguaje java y como manejador de base de datos mysql.','smpp, short message peer to peer, sms, short messaging system, mensajería de texto.','tecnologías de comunicación y redes de computadoras'
'evaluación de frameworks web usando técnicas de medición de rendimiento y métricas de software aplicadas sobre componentes del módulo de administración del servicio comunitario. caso de estudio: java server faces y struts 2','este trabajo abarca los siguientes tópicos: frameworks, métricas de software y de rendimiento, y así como los pasos o estrategias llevadas a cabo para implementar un conjunto de herramientas que permitan evaluar componentes de software. los componentes evaluados forman parte del módulo de administración de información del servicio comunitario de la facultad de ciencias, la cual se desarrolló, en el mismo tenor, en los frameworks java estudiados en éste trabajo: java server faces (jsf) y struts 2. se tomó especial consideración que incluyeran las mismas funcionalidades y se desarrollaran usando la misma lógica de programación. todo esto con la finalidad de dar respuesta a las siguientes preguntas ¿qué framework es más eficaz o ventajoso, cuando se implementa una aplicación relacionadas con entornos web de java? en nuestro trabajo se tomó en cuenta el framework struts 2, el cual posee un controlador que viene inserto como un servlet interno de struts 2, este último se usó para dirigir la relación existente entre las acciones, la interfaz y los beans con la finalidad de trabajar la lógica de negocio; simultáneamente las etiquetas de struts ayudaron a construir la vista y las interfaces en conjunción con la tecnología ajax. otro framework considerado es java server faces, el cual se usó de manera análoga al anterior, para ejecutar la lógica de negocio o acciones del mismo modelo y en el que se contemplaron la interfaz gráfica de usuario, los eventos y sus componentes como si fuesen una aplicación web estándar para diseñar las diferentes interfaces o vistas que luego son mostradas al usuario. luego se describe en detalle el subconjunto de métricas seleccionadas, el ambiente y estrategias para realizar la medición y las pruebas de rendimiento y el analisis, diseño e implementación de los componentes de la herramienta web, de nuestra propia autoría, para el servicio comunitario la evaluación se realizó de dos maneras. las métricas de software se calcularon por medio de un agregado de software instalado sobre el entorno de desarrollo eclipse, metrics 1.3.6, que permitió al usuario exportar los datos obtenidos en un archivo de texto para su posterior procesamiento y visualización. las métricas de rendimiento fueron obtenidas mediante la herramienta httperf v9, para plataformas linux, la cual sometió a stress a los componentes seleccionados como caso de estudio y arrojó una serie de resultados sobre el rendimiento. finalmente los resultados capturados son mostrados en una herramienta, llamada visor, que permite visualizar de manera gráfica los valores de las métricas previamente obtenidas.','métricas struts2, java server faces, servicio comunitario.','aplicaciones en internet'
'desarrollo de un sistema de gestión escolar usando elementos de aplicaciones web enriquecidas','para el desarrollo del sistema de gestión escolar del c.e.a.p.u.c.v es indispensable el uso de herramientas que ayuden de manera versátil y eficaz en la construcción de esta aplicación. adicionalmente, se quiere que esta aplicación tenga una interacción con el usuario de la forma mas fluida posible, para ello se utilizaron elementos de aplicaciones web enriquecidas más específicamente el enfoque ajax y todas las bondades que este ofrece.','ajax, sistema, web, gestión escolar, ceapucv.','aplicaciones en internet'
'aprenda token ring: sistema didactico para la enseñanza de la arquitectura de red token ring','el presente trabajo especial de grado consiste en el desarrollo de una aplicacióndenominada aprenda token ring, la cual será utilizada como apoyo en los cursosbásicos de redes. aprenda token ringestá basada en el estándar ieee 802.5 y provee un conjunto de herramientas que permiten a los estudiantes del área deredes y comunicaciones conocer el funcionamiento de la arquitectura de redtoken ring mediante simulaciones que muestran los procesos que se llevan acabo en este tipo de redes dependiendo de un evento particular como lo es la inserción de una nueva estación, la eliminación de una estación, la eliminación demonitor activo, el envío de tramas, etc. el trabajo se inicia con un estudio teórico de los aspectos más relevantes del estándar ieee 802.5. durante la implementación de la aplicación, se utilizó una metodología iterativa basada en las nuevas tendencias del modelo de desarrollo ágil que plantea la creación de cada una de las herramientas de la aplicación en una iteración del proceso que abarca las fases de análisis, diseño, implementación y pruebas. aprenda token ringincorpora también un conjunto de utilidades que permite que el estudiante se familiarice con el tema, como lo son un glosario de términos donde se da una breve explicación de la terminología más usada, una ayuda donde se explica cómo usar la aplicación, un módulo de evaluación donde se mide el aprendizaje del usuario. el producto final junto a la documentación de la investigación serán ofrecidos a la escuela de computación de la facultad de ciencias de la ucv, para que sea utilizado por los profesores del área de redes y comunicaciones, como apoyo en la enseñanza de las redes token ring.','token ring, sistema didáctico, topología de anillo, redes,simulador.','tecnologías de comunicación y redes de computadoras'
'herramienta de apoyo para la formulación de proyectos socio-productivos comunales','a través de este trabajo especial de grado se construye un producto de software ue apoya la formulación de proyectos socio-productivos comunales. esta erramienta permite a las usuarias y usuarios, luego de la fase de estudio y diagnóstico de la realidad comunal, poder convertir sus ideas-proyectos, relacionadas con actividades productivas, en un proyecto socio-productivo en sí. esto a través de la aplicación de una metodología para la formulación de proyectos y la generación del mismo en formato digital. se tomó como propuesta piloto la metodología diseñada por el banco de desarrollo de la mujer, para financiar proyectos socio-productivos a mujeres de nuestro pueblo, proveyéndolas, de esta manera, de un instrumento para el manejo de dicha metodología. la herramienta desarrollada es una aplicación web a la que pueden acceder las usuarias a fin de presentar sus proyectos ante la institución. así como también puede ser utilizada por cualquier internauta que desee orientarla hacia otros destinos, ya sea para fines sólo de proyectos como para la consecución de financiamientos a través de otros entes con competencia en la materia.','proyectos socio-productivos, gobierno electrónico, herramienta web.','aplicaciones en internet'
